VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID,vCenter,OS Effective,Cleaned OS,Exclusion Reason
DEPAPP6P,poweredOn,False,False,green,depapp6p,connected,running,green,False,2024-07-30 08:47:49,,2022-04-23 22:04:14,2024-07-30 08:18:30,8,32768,3,4,intel-cascadelake,normal,,True,10.22.10.66,ACME-MANAGEMENT-PRO|AP-MGT-EX-P-DEPRTS|EPG-MGT-P-INFRA_CM_1,ACME-INFRA-PRO|AP-PRO-EX-P-INFRA|EPG-PRO-P-NFS-EXT3_V2907,ACME-INFRA-PRO|AP-PRO-EX-P-IN_NFS|EPG-PRO-P-NFS_SHARED_SERVER,,,,,,1,4096,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_CS_VW_L_GRAC_DEF_PRO_003/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/Zerto,,True,notConfigured,gray,-1,-1,230491,78480,78388,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL901_1046_M2_L_GRAC_DEF_PRO_003] DEPAPP6P/DEPAPP6P.vmx,[VMVOL901_1046_M2_L_GRAC_DEF_PRO_003] DEPAPP6P/,[VMVOL901_1046_M2_L_GRAC_DEF_PRO_003] DEPAPP6P/,[VMVOL901_1046_M2_L_GRAC_DEF_PRO_003] DEPAPP6P/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_CS_VW_L_GRAC_DEF_PRO_003,srvdc2idsx632.pro.onpremise.es.acme,Other (32-bit),Red Hat Enterprise Linux 7 (64-bit),vm-203341,50162104-bcd4-d630-8cb8-32cd360e1113,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
wcpsffcas903,poweredOn,False,False,green,wcpsffcas903.adgbs.com,connected,running,green,False,2024-06-16 01:09:49,,2022-06-07 20:09:22,2024-06-13 20:08:27,4,8192,1,2,intel-cascadelake,normal,True,True,172.219.64.14,ACME-01-CLOUD|AP-PRO-SF-P-FCSAGE|EPG-PRO-P-FCSAGE-T3,,,,,,,,1,4096,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_CS_VW_W_GRAC_DEF_PRO_004/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/Zerto,,True,notConfigured,gray,-1,-1,72302,67281,66658,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL901_1023_M1_W_GRAC_DEF_PRO_004] wcpsffcas903/wcpsffcas903.vmx,[VMVOL901_1023_M1_W_GRAC_DEF_PRO_004] wcpsffcas903/,[VMVOL901_1023_M1_W_GRAC_DEF_PRO_004] wcpsffcas903/,[VMVOL901_1023_M1_W_GRAC_DEF_PRO_004] wcpsffcas903/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_CS_VW_W_GRAC_DEF_PRO_004,srvdc1idsx680.pro.onpremise.es.acme,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-253141,5016c945-ca92-a178-43e3-6c5b20acf021,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012,i440fx or IDE Controller
xcpcvidas916,poweredOn,False,False,green,xcpcvidas916.es.onpremise.acme.com,connected,running,green,False,2024-06-16 16:08:17,,2022-05-05 21:14:33,2024-08-05 19:40:09,4,8192,1,4,intel-cascadelake,normal,,True,172.218.16.134,ACME-01-CLOUD|AP-MGT-CV-P-CL_MON|EPG-MGT-P-CL_MON-SRV,,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC1_PRO_001/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/Zerto,,True,notConfigured,gray,-1,-1,556201,66560,63319,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas916/xcpcvidas916.vmx,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas916/,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas916/,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas916/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC1_PRO_001,srvdc1idsx536.pro.onpremise.es.acme,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-214972,501657eb-9ce9-207f-0f1a-4089ecfbb0eb,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpcvidas918,poweredOn,False,False,green,xcpcvidas918.es.onpremise.acme.com,connected,running,green,False,2024-07-20 01:40:23,,2022-12-12 23:57:26,2024-08-05 20:21:22,4,16384,1,4,intel-cascadelake,normal,,True,172.218.16.136,ACME-01-CLOUD|AP-MGT-CV-P-CL_MON|EPG-MGT-P-CL_MON-SRV,,,,,,,,1,4096,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC1_PRO_001/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001,,True,notConfigured,gray,-1,-1,554554,59638,58043,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,14,none,never,,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas918/xcpcvidas918.vmx,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas918/,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas918/,[VMVOL903_1053_M1_L_GRAC_DC1_PRO_001] xcpcvidas918/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC1_PRO_001,srvdc1idsx538.pro.onpremise.es.acme,Other (32-bit),Red Hat Enterprise Linux 7 (64-bit),vm-554660,5016c6f1-bc52-593e-ef5f-730c1f1ac1af,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpcvidas926,poweredOn,False,False,green,xcpcvidas926.es.onpremise.acme.com,connected,running,green,False,2024-07-20 02:36:08,,2022-04-21 22:22:27,2024-08-05 19:24:46,4,16384,1,7,intel-cascadelake,normal,,True,172.218.16.144,ACME-01-CLOUD|AP-MGT-CV-P-CL_RHEV|EPG-MGT-P-CL_RHEV-MGT,,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC1_PRO_001/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/ManageIQ,,True,notConfigured,gray,-1,-1,298659,147742,146160,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpcvidas926/xcpcvidas926.vmx,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpcvidas926/,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpcvidas926/,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpcvidas926/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC1_PRO_001,srvdc1idsx535.pro.onpremise.es.acme,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-201568,5016688c-2452-8c0b-d68a-3b51857b5d63,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpcvidas932,poweredOn,False,False,green,xcpcvidas932.es.onpremise.acme.com,connected,running,green,False,2024-06-10 22:07:15,,2023-03-09 19:31:03,2024-07-27 20:00:11,4,8192,1,2,intel-cascadelake,normal,,True,172.218.8.48,common|AP-PRO-CV-P-CL_AD|EPG-PRO-P-CL_AD-SRV,,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC2_PRO_002/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001,,True,notConfigured,gray,-1,-1,71719,27276,27237,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,14,none,never,,[VMVOL903_1046_M2_L_GRAC_DC2_PRO_002] xcpcvidas932/xcpcvidas932.vmx,[VMVOL903_1046_M2_L_GRAC_DC2_PRO_002] xcpcvidas932/,[VMVOL903_1046_M2_L_GRAC_DC2_PRO_002] xcpcvidas932/,[VMVOL903_1046_M2_L_GRAC_DC2_PRO_002] xcpcvidas932/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC2_PRO_002,srvdc2idsx564.pro.onpremise.es.acme,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-704553,50169843-3676-22fa-cdfc-47b35e8d8129,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpsfidas905,poweredOn,False,False,green,,connected,notRunning,gray,False,2024-07-20 19:07:59,,2023-03-03 20:32:35,2024-06-25 18:29:55,4,12288,1,5,intel-cascadelake,normal,,True,,common|AP-PRO-SF-P-CL_AD|EPG-PRO-P-CL_AD-SRV,,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_CS_VW_L_GRAC_DEF_PRO_003/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001,,True,notConfigured,gray,-1,-1,153715,107102,107067,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,14,none,never,,[VMVOL901_1057_M1_L_GRAC_DEF_PRO_003] xcpsfidas905/xcpsfidas905.vmx,[VMVOL901_1057_M1_L_GRAC_DEF_PRO_003] xcpsfidas905/,[VMVOL901_1057_M1_L_GRAC_DEF_PRO_003] xcpsfidas905/,[VMVOL901_1057_M1_L_GRAC_DEF_PRO_003] xcpsfidas905/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_CS_VW_L_GRAC_DEF_PRO_003,srvdc1idsx634.pro.onpremise.es.acme,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-694606,501677fc-ac36-c632-68d7-dff0e603daa7,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpsfidas915_Apagado_Prev_RITM0721493_19062024_MTO,poweredOff,False,False,green,xcpsfidas915.es.onpremise.acme.com,connected,notRunning,gray,False,,,2022-04-21 21:01:29,2024-08-05 21:28:59,4,16384,1,3,,normal,,True,,ACME-01-CLOUD|AP-MGT-SF-P-CL_MON|EPG-MGT-P-CL_MON-SRV,,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC1_PRO_001/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/Zerto,,,notConfigured,gray,-1,-1,99335,35866,35423,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpsfidas915/xcpsfidas915.vmx,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpsfidas915/,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpsfidas915/,[VMVOL903_1071_M1_L_GRAC_DC1_PRO_001] xcpsfidas915/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC1_PRO_001,srvdc1idsx530.es.onpremise.acme.com,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-201500,501692b6-a7b4-3644-f94b-a879b0c92daa,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpsfidas920,poweredOn,False,False,green,xcpsfidas920.es.onpremise.acme.com,connected,running,green,False,2024-06-16 16:08:34,,2022-04-21 21:29:49,2024-08-05 20:46:10,4,16384,1,5,intel-cascadelake,normal,,True,172.219.16.151,ACME-01-CLOUD|AP-MGT-SF-P-CL_MON|EPG-MGT-P-CL_MON-SRV,,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC1_PRO_001/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/Zerto,,True,notConfigured,gray,-1,-1,131211,80265,80126,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL903_1039_M1_L_GRAC_DC1_PRO_001] xcpsfidas920/xcpsfidas920.vmx,[VMVOL903_1039_M1_L_GRAC_DC1_PRO_001] xcpsfidas920/,[VMVOL903_1039_M1_L_GRAC_DC1_PRO_001] xcpsfidas920/,[VMVOL903_1039_M1_L_GRAC_DC1_PRO_001] xcpsfidas920/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC1_PRO_001,srvdc1idsx534.es.onpremise.acme.com,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-201527,50160a44-c426-aede-d34d-ec34de588b88,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
xcpsfidas925,poweredOn,False,False,green,xcpsfidas925.es.onpremise.acme.com,connected,running,green,False,2024-06-11 00:41:42,,2022-04-21 22:29:08,2024-08-05 21:04:50,4,16384,2,4,intel-cascadelake,normal,,True,172.219.16.140,ACME-01-CLOUD|AP-MGT-SF-P-CL_RHEV|EPG-MGT-P-CL_RHEV-MGT,ACME-INFRA-PRO|AP-PRO-EX-P-IN_NFS|EPG-PRO-P-NFS_SHARED_SERVER,,,,,,,1,8192,/VD_VE_VW_O_GRAC_DEF_PRO_001/CU_VE_VW_L_GRAC_DC1_PRO_001/Resources,/VD_VE_VW_O_GRAC_DEF_PRO_001/Zerto,,True,notConfigured,gray,-1,-1,144010,102164,101631,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,15,none,never,,[VMVOL903_1067_M1_L_GRAC_DC1_PRO_001] xcpsfidas925/xcpsfidas925.vmx,[VMVOL903_1067_M1_L_GRAC_DC1_PRO_001] xcpsfidas925/,[VMVOL903_1067_M1_L_GRAC_DC1_PRO_001] xcpsfidas925/,[VMVOL903_1067_M1_L_GRAC_DC1_PRO_001] xcpsfidas925/,,VD_VE_VW_O_GRAC_DEF_PRO_001,CU_VE_VW_L_GRAC_DC1_PRO_001,srvdc1idsx532.es.onpremise.acme.com,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-201572,50164f90-2b4e-b201-542c-5d0d6f49a240,VMware vCenter Server 8.0.3 build-24022515,8.0.3.0,xcpm1idas901.es.onpremise.acme.com,3d60420d-5970-4819-9d94-1a600e5dd50a,customer,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7,i440fx or IDE Controller
