Cluster,VM_Count
CU_VE_VW_W_GRAC_DC1_PRO_001,208
CU_VE_VW_L_GRAC_DC1_PRO_001,199
CU_VE_VW_W_GRAC_DC2_PRO_001,157
CU_VE_VW_L_GRAC_DC2_PRO_001,153
CU_CS_VW_O_MGMT_DEF_PRO_001,103
CU_VE_VW_L_GRAC_DC1_PRO_002,103
CU_CS_VW_O_MGMT_DEF_PRO_002,95
CU_CS_VW_W_GRAC_DEF_PRO_004,95
CU_CS_VW_W_GRAC_DEF_PRO_003,89
CU_VE_VW_L_GRAC_DC2_PRO_002,86
CU_CS_VW_L_GRAC_DEF_PRO_001,61
CU_CS_VW_L_BGDT_DEF_PRO_001,54
CU_CS_VW_O_MSQL_DEF_PRO_003,51
CU_VE_VW_L_BSON_DC1_PRO_001,46
CU_VE_VW_L_BSON_DC2_PRO_001,42
CU_CS_VW_O_ACTI_DEF_PRO_001,32
CU_CS_VW_L_GRAC_DEF_PRO_003,31
CU_VE_VW_O_OCP_DC1_PRO_001,27
CU_CS_VW_L_GRAC_DEF_PRO_002,24
CU_VE_VW_O_QRAD_DC1_PRO_001,20
CU_VE_VW_O_DMZU_DC1_PRO_001,17
CU_VE_VW_O_QRAD_DC2_PRO_001,16
CU_VE_VW_O_OCP_DC2_PRO_001,12
CU_VE_VW_O_MSQL_DC1_PRO_001,11
CU_VE_VW_O_MSQL_DC2_PRO_001,11
CU_VE_VW_O_DMZU_DC2_PRO_001,11
CU_VE_VW_L_ECE_DEF_PRO_001,11
CU_VE_VW_O_PRLF_DC1_PRO_001,9
CU_VE_VW_O_PRLF_DC2_PRO_001,8
CU_VE_VW_L_BSOZ_DC1_PRO_001,7
CU_VE_VW_L_BSOZ_DC2_PRO_001,6
