Cluster,VM_Count
HCF_PROD_CLO006_GP_NTAPF,336
HCF_PROD_CLO004_GP_NTAPF,211
PNH_Production_CLO002_GP_NTAP,144
HCF_PROD_CLO021_GP_NTAP,139
HCF_PROD_CLO009_GP_NTAPF,133
HCF_PROD_CLO022_SQL_NTAP,131
KUL_PROD_CLO005_GP_NTAP,128
SNG_PROD_CLO005_GP_NTAP,119
HOE_Production_CLO071_GP_NTAP,116
HOE_PROD_CLO128_GP_NTAP,110
HCF_ACPT_CLO020_GP_NTAPF,88
HCF_PROD_CLO019_GP_NTAPF,77
PNH_PROD_CLO005_GP_NTAP,73
HOE_PROD_CLO126_TS_NTAP,63
HOE_PROD_CLO110_SPS_NTAP-REP-30,56
HCF_PROD_CLO008_GP_NTAPF,54
HOE_Production_CLO083_TS_NTAP,54
HCF_PROD_CLO013_GP_NTAP,53
HOE_Production_CLO073_GP_NTAP,45
HOE_Production_CLO091_LabLan_NTAP,45
JAK_Production_CLO003_GP_NTAP,42
HCF_PROD_CLO111_GP_SYMM-REP-31,41
HOE_Production_CLO086_GP_NTAP_REP-19,35
HCF_PROD_CLO114_GP_SYMM-REP-34,33
HCF_PROD_CLO003_SPS_NTAPF-REP-24,32
HOE_PROD_CLO127_SQL_NTAP,32
HOE_Production_CLO079_DMZ_NTAP,30
IPO_PROD_CLO001_GP_VRTX,25
CEP_PROD_CLO003_GP_NTAP,25
BKK_PROD_CLO003_GP_NTAP,24
HOE_Production_CLO075_DMZ_NTAP,22
HCF_PROD_CLO125_GP_NTAPF-REP-45,20
BLR_PROD_CLO003_GP_NTAP,18
ABU_PROD_CLO002_GP_NTAP,15
HCF_PROD_CLO012_DMZ_NTAP,14
PPP_PROD_CLO001_GP_VRTX,13
CEP_PROD_CLO004_GP_NTAP,12
HCF_PROD_CLO015_DR_SYMM-REP-36,12
HCF_PROD_CLO121_SVC_SYMM-REP-38,11
RYD_PROD_CLO001_GP_VRTX,10
IPO_PROD_CLO002_GP_NTAP,9
DUA_PROD_CLO002_GP_VRTX,8
DOH_PROD_CLO002_GP_NTAP,8
HCF_PROD_CLO115_SQL_SYMM-REP-35,8
PPP_PROD_CLO002_LABLAN_VRTX,8
HRI_PROD_CLO002_GP_NTAP,8
PNH_Production_CLO003_DMZ_NTAP,7
TPR_PROD_CLO003_GP_VRTX,7
HOE_Production_CLO105_TS_NFS,7
HCF_PROD_CLO113_MSCS_SYMM-NOREP-33,7
CEP_PROD_CLO005_LABLAN_VRTX,5
SBK_Production_CLO002_GP_NTAP,5
SNG_PROD_CLO006_LABLAN_NTAP,5
HOE_Production_CLO074_PCMS_NTAP,5
HOE_Production_CLO085_GP_SYMM-NOREP,4
DAL_PROD_CLO001_MGT_NFS,3
HOE_Production_CLO089_WEBC_SYMM,3
HOE_Production_CLO103_ORA_NTAP,2
PPP_PROD_CLO001_GP_NTAP,1
