Datacenter,Cluster_Count
HOEDCO02,34
DALDCO03,22
PNHDCO01,3
CEPDCO01,3
ACODCO01,3
PPPDCO01,3
FOSDCO01,3
GYGDCO01,3
Dallas Prod,3
NDGDCO01,3
ROTDCO01,2
IPODCO01,2
PLNDCO01,2
Dallas non-Prod,2
MELDCO01,2
BTRDCO01,2
MBPDCO01,2
ANTDCO01,2
LAGDCO01,2
KZBDCO01,2
CGYDCO03,2
SNGDCO01,2
BMTDCO01,2
BRRDCO01,2
MEPDCO01,1
NOUDCO01,1
NRWDCO01,1
MPPDCO01,1
OLADCO01,1
PABDCO01,1
NANDCO01,1
PHGDCO01,1
MXCDCO01,1
ABBDCO01,1
POUDCO01,1
PRGDCO01,1
VADDCO01,1
USNDCO01,1
TPRDCO01,1
SVWDCO01,1
STJDCO01,1
SLADCO01,1
SHCDCO01,1
SERDCO01,1
SCODCO01,1
SBKDCO01,1
SARDCO01,1
RYDDCO01,1
RIODCO01,1
LUADCO01,1
QITDCO01,1
MACDCO01,1
JOLDCO01,1
LIPDCO01,1
LFDDCO01,1
DUADCO01,1
DOHDCO01,1
DIADCO01,1
DALDCO01,1
CTCDCO02,1
CLNDCO01,1
CLDDCO01,1
CAIDCO01,1
BLRDCO01,1
BKKDCO01,1
BKCDCO01,1
BDPDCO01,1
BBWDCO01,1
APPDCO01,1
ANCDCO01,1
FAWDCO01,1
FEPDCO01,1
FRIDCO01,1
HRIDCO01,1
LCODCO01,1
KZADCO01,1
KULDCO01,1
KRLDCO01,1
ABUDCO01,1
JAKDCO01,1
HOEDCO01,1
FWDDCO01,1
HIBDCO01,1
HBRDCO01,1
GKNDCO01,1
GFCDCO01,1
GFBDCO01,1
GFADCO01,1
VFADCO01,1
