Cluster,VM_Count
Generic_Compute Prod,473
HCF_PROD_CLO006_GP_NTAPF,336
DAL_PROD_CLO076_GP_NTAPF,280
Generic_Compute non-Prod,279
HCF_PROD_CLO004_GP_NTAPF,211
LCO_PROD_CLO001_GP_NTAP,147
PNH_Production_CLO002_GP_NTAP,144
HCF_PROD_CLO021_GP_NTAP,139
HCF_PROD_CLO009_GP_NTAPF,133
DAL_PROD_CLO089_GP_NTAP,131
HCF_PROD_CLO022_SQL_NTAP,131
DAL_PROD_CLO090_GP_NTAPF,129
KUL_PROD_CLO005_GP_NTAP,128
DAL_PROD_CLO085_SPS_NTAP-REP-30,126
SNG_PROD_CLO005_GP_NTAP,119
HOE_Production_CLO071_GP_NTAP,116
HOE_PROD_CLO128_GP_NTAP,110
BTR_PROD_CLO003_GP_NTAP,97
QIT_PROD_CLO002_GP_NTAP,91
HCF_ACPT_CLO020_GP_NTAPF,88
DAL_PROD_CLO131_GP_NTAP,82
GKN_PROD_CLO001_GP_NTAP,81
BRR_PROD_CLO001_GP_NTAP_HCI,79
CGY_PROD_CLO007_GP_NTAP,79
DAL_PROD_CLO073_SPS_NTAPF-REP-24,78
HCF_PROD_CLO019_GP_NTAPF,77
NDG_PROD_CLO004_GP_NTAP,77
PNH_PROD_CLO005_GP_NTAP,73
DAL_PROD_CLO086_GP_SYMM-REP-31,65
HOE_PROD_CLO126_TS_NTAP,63
DAL_PROD_CLO133_SQL_NTAP,60
LAG_Production_CLO002_GP_NTAP,60
STJ_PROD_CLO003_GP_NTAP,58
HOE_PROD_CLO110_SPS_NTAP-REP-30,56
CGY_PROD_CLO006_GP_NTAP,55
HOE_Production_CLO083_TS_NTAP,54
MEL_PROD_CLO004_GP_NTAPF,54
HCF_PROD_CLO008_GP_NTAPF,54
HCF_PROD_CLO013_GP_NTAP,53
MEL_PROD_CLO003_TSS_NTAP,52
Database non-Prod,51
BMT_PROD_CLO002_GP_NTAP,51
JOL_PROD_CLO002_GP_NTAP,50
Database Prod,50
DAL_Production_CLO049_TS_NTAP,49
DAL_PROD_CLO087_GP_SYMM-REP-34,48
ROT_PROD_CLO003_GP_NTAP,46
HOE_Production_CLO073_GP_NTAP,45
HOE_Production_CLO091_LabLan_NTAP,45
SAR_PROD_CLO002_GP_NTAP,45
LUA_PROD_CLO003_GP_NTAP,45
ACO_Production_CLO001_GP_NTAP,42
JAK_Production_CLO003_GP_NTAP,42
HCF_PROD_CLO111_GP_SYMM-REP-31,41
FOS_PROD_CLO004_GP_NTAP,38
ACO_PROD_CLO005_GP_NTAP,37
FAW_PROD_CLO003_GP_NTAP,35
HOE_Production_CLO086_GP_NTAP_REP-19,35
HCF_PROD_CLO114_GP_SYMM-REP-34,33
KRL_PROD_CLO002_GP_NTAP,33
DAL_Production_CLO066_DMZ_NTAP,32
HCF_PROD_CLO003_SPS_NTAPF-REP-24,32
HOE_PROD_CLO127_SQL_NTAP,32
NAN_PROD_CLO002_GP_NTAP,31
DAL_PROD_CLO100_GP_NTAP,30
HOE_Production_CLO079_DMZ_NTAP,30
POU_PROD_CLO003_GP_NTAP,29
MAC_PROD_CLO004_GP_NTAP,29
VFA_PROD_CLO002_GP_NTAP,29
DAL_Production_CLO067_DMZ_NTAP,29
ANT_PROD_CLO003_GP_NTAP,28
MBP_PROD_CLO001_GP_VRTX,25
CEP_PROD_CLO003_GP_NTAP,25
IPO_PROD_CLO001_GP_VRTX,25
SCO_PROD_CLO001_GP_NTAP,25
DAL_PROD_CLO099_SVC_SYMM-REP-38,24
BKK_PROD_CLO003_GP_NTAP,24
FOS_PROD_CLO003_VRTX,23
BDP_PROD_CLO003_GP_NTAP,23
HOE_Production_CLO075_DMZ_NTAP,22
ACO_Production_CLO003_TS_NTAP,22
LFD_PROD_CLO001_GP_NTAP,20
PRG_PROD_CLO003_GP_NTAP,20
HCF_PROD_CLO125_GP_NTAPF-REP-45,20
MPP_PROD_CLO002_GP_VRTX,20
BLR_PROD_CLO003_GP_NTAP,18
ABB_PROD_CLO002_GP_NTAP,18
FEP_PROD_CLO003_GP_NTAP,17
NDG_PROD_CLO004_GP_DR_NTAP,17
PHG_PROD_CLO003_GP_NTAP,16
CLD_PROD_CLO002_GP_NTAP,16
GYG_PROD_CLO003_GP_NTAP,16
APP_PROD_CLO001_GP_NFS,16
ABU_PROD_CLO002_GP_NTAP,15
SHC_PROD_CLO002_GP_VRTX,15
SLA_PROD_CLO002_GP_NTAP,15
HCF_PROD_CLO012_DMZ_NTAP,14
DAL_PROD_CLO132_SYMM-REP-36,14
GFB_PROD_CLO001_GP_NTAP,14
DAL_PROD_CLO091_MSCS_SYMM-REP-33,14
PLN_PROD_CLO003_GP_NTAP,14
MEP_PROD_CLO001_GP_NTAP,13
BRR_PROD_CLO003_LABLAN_NTAP,13
GFA_PROD_CLO001_GP_NTAP,13
BTR_PROD_CLO004_LABLAN_NTAP,13
PPP_PROD_CLO001_GP_VRTX,13
DAL_PROD_CLO079_DMZ_NTAP,13
CTC_PROD_CLO001_GP_NTAP,13
CEP_PROD_CLO004_GP_NTAP,12
HCF_PROD_CLO015_DR_SYMM-REP-36,12
KZB_Production_CLO002_GP_NTAP,11
HCF_PROD_CLO121_SVC_SYMM-REP-38,11
KZA_PROD_CLO001_GP_VRTX,11
CAI_PROD_CLO002_GP_NTAP,10
HIB_PROD_CLO002_GP_VRTX,10
MXC_PROD_CLO001_GP_NTAP,10
RYD_PROD_CLO001_GP_VRTX,10
LAG_PROD_CLO001_KP_NTAP,10
BMT_PROD_CLO004_LABLAN_NTAP,9
PAB_PROD_CLO002_GP_NTAP,9
IPO_PROD_CLO002_GP_NTAP,9
PPP_PROD_CLO002_LABLAN_VRTX,8
CLN_PROD_CLO001_GP_NTAP,8
DUA_PROD_CLO002_GP_VRTX,8
BKC_PROD_CLO001_GP_VRTX,8
HRI_PROD_CLO002_GP_NTAP,8
DOH_PROD_CLO002_GP_NTAP,8
PLN_PROD_CLO001_LABLAN_VRTX,8
DIA_PROD_CLO001_GP_VRTX,8
HCF_PROD_CLO115_SQL_SYMM-REP-35,8
HOE_Production_CLO105_TS_NFS,7
HCF_PROD_CLO113_MSCS_SYMM-NOREP-33,7
HBR_PROD_CLO002_GP_VRTX,7
ANC_PROD_CLO002_GP_VRTX,7
TPR_PROD_CLO003_GP_VRTX,7
PNH_Production_CLO003_DMZ_NTAP,7
OLA_PROD_CLO001_GP_NTAP,7
Management Cluster,7
GYG_PROD_CLO002_GP_VRTX,6
ROT_PROD_CLO004_LABLAN_VRTX,6
ANT_PROD_CLO004_LABLAN_NTAP,6
GYG_PROD_CLO001_GP_VRTX,6
KZB_Production_CLO001_GP_VRTX,6
LIP_PROD_CLO001_GP_VRTX,6
HOE_Production_CLO074_PCMS_NTAP,5
CEP_PROD_CLO005_LABLAN_VRTX,5
GFC_PROD_CLO001_GP_NTAP,5
SBK_Production_CLO002_GP_NTAP,5
SNG_PROD_CLO006_LABLAN_NTAP,5
NRW_PROD_CLO001_GP_VRTX,5
DAL_PROD_CLO088_SQL_SYMM-REP-35,4
SER_PROD_CLO001_GP_VRTX,4
HOE_Production_CLO085_GP_SYMM-NOREP,4
SVW_PROD_CLO001_GP_VRTX,4
FRI_PROD_CLO001_GP_VRTX,4
NDG_PROD_CLO005_LABLAN_NTAP,4
NOU_PROD_CLO001_GP_VRTX,4
BBW_PROD_CLO001_GP_VRTX,4
DAL_PROD_CLO001_MGT_NFS,3
VAD_PROD_CLO002_GP_NTAP,3
HOE_Production_CLO089_WEBC_SYMM,3
RIO_PROD_CLO001_GP_VRTX,3
HCF_PROD_CLO001_MGT_NFS,3
FWD_PROD_CLO001_GP_VRTX,3
FOS_PROD_CLO002_DR_VRTX,3
HOE_Production_CLO103_ORA_NTAP,2
PPP_PROD_CLO001_GP_NTAP,1
DAL_PROD_CLO097_MGMT_NTAP,1
DAL_PROD_CLO098_TABLEAU_NTAPF,1
MBP_PROD_CLO002_GP_NTAP,1
USN_PROD_CLO001_GP,1
DAL_Production_CLO064_GP_NTAP,1
DAL_Production_CLO072_Tableau_SYMM-NOREP,1
