VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,Total disk capacity MiB,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,CitrixProvisioningSchemeId,com.vrlcm.snapshot,Rubrik_LastBackup,XdConfig,openshift-dall-om-001-prd-9zsg5,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID,vCenter,OS Effective,Cleaned OS,Exclusion Reason
dalldavapiex001,poweredOn,False,False,green,ims-debian-server,connected,running,green,False,2024-07-10 16:11:42,,2024-07-09 15:23:47,2024-08-06 04:14:10,4,4096,1,1,71680,,normal,,True,10.187.96.141,dall_dmz_preprod|dmz_preprod_anp|10.187.96.0_24_epg,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v412838,,,True,notConfigured,,gray,-1,-1,75860,7702,3522,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,efi,17,none,never,,[dalld-gc-254-A01-n] dalldavapiex001/dalldavapiex001.vmx,[dalld-gc-254-A01-n] dalldavapiex001/,[dalld-gc-254-A01-n] dalldavapiex001/,[dalld-gc-254-A01-n] dalldavapiex001/,,,,Last Backup successfully completed at Tue Aug 06 08:55:39 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Debian GNU/Linux 10 (64-bit),Debian GNU/Linux 11 (64-bit),vm-441264,422317fb-489a-a24e-54c4-af548a3589e1,50239bdf-f1d0-1c4b-6ebf-8d5e4bf30b3f,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Debian GNU/Linux 11 (64-bit),Debian GNU/Linux 11,Excluded OS
dalldavapiin001,poweredOn,False,False,green,dalldavapiin001.site.local,connected,running,green,False,2024-08-04 21:33:51,,2024-07-09 15:24:49,2024-08-05 04:09:07,4,4096,1,1,71680,,normal,,True,10.186.33.200,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v412838,,,True,notConfigured,,gray,-1,-1,75861,8573,4392,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,efi,17,none,never,,[dalld-gc-254-A01-n] dalldavapiin001/dalldavapiin001.vmx,[dalld-gc-254-A01-n] dalldavapiin001/,[dalld-gc-254-A01-n] dalldavapiin001/,[dalld-gc-254-A01-n] dalldavapiin001/,,,,Last Backup successfully completed at Tue Aug 06 08:58:06 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Debian GNU/Linux 10 (64-bit),Debian GNU/Linux 11 (64-bit),vm-441266,42231b74-91e5-2846-0017-2e8b36cc7f66,50235512-045b-d43b-0fa5-5bc12ae68435,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Debian GNU/Linux 11 (64-bit),Debian GNU/Linux 11,Excluded OS
dalldavqsv001,poweredOn,False,False,green,dalldavqsv001.site.local,connected,running,green,False,2023-07-05 12:15:40,,2023-07-05 12:10:19,2024-07-19 07:15:31,4,8192,2,1,57344,intel-cascadelake,normal,,True,10.186.33.152,PreProd_10.186.32.0_22-2174,PreProd_10.186.32.0_22-2174,,,,,,,1,8192,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,65645,65645,57344,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,9,none,never,,[dalld-gc-251-A01-n] dalldavqsv001/dalldavqsv001.vmx,[dalld-gc-251-A01-n] dalldavqsv001/,[dalld-gc-251-A01-n] dalldavqsv001/,[dalld-gc-251-A01-n] dalldavqsv001/,"Qualys Virtual Scanner Appliance, build:qVSA-2.7.45-6",,,Last Backup successfully completed at Tue Aug 06 15:51:33 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Red Hat Enterprise Linux 6 (32-bit),Other 2.6.x Linux (32-bit),vm-42436,4223aba2-f13a-ff18-dd92-d6bd2d5a326d,50237bf3-d450-b403-ad4a-6b3b20546cd1,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Other 2.6.x Linux (32-bit),Other 2.6.x Linux,Excluded OS
dalldavqsv002,poweredOn,False,False,green,dalldavqsv002.site.local,connected,running,green,False,2023-07-05 12:15:41,,2023-07-05 12:10:54,2024-07-19 07:15:13,4,8192,2,1,57344,intel-cascadelake,normal,,True,10.187.250.212,PCI_non-Prod_10.187.250.0_24-901,PCI_non-Prod_10.187.250.0_24-901,,,,,,,1,8192,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v9,,,True,notConfigured,,gray,-1,-1,65645,65645,57344,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,9,none,never,,[dalld-gc-254-A01-n] dalldavqsv002/dalldavqsv002.vmx,[dalld-gc-254-A01-n] dalldavqsv002/,[dalld-gc-254-A01-n] dalldavqsv002/,[dalld-gc-254-A01-n] dalldavqsv002/,"Qualys Virtual Scanner Appliance, build:qVSA-2.7.45-6",,,Last Backup successfully completed at Tue Aug 06 16:06:52 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Red Hat Enterprise Linux 6 (32-bit),Other 2.6.x Linux (32-bit),vm-42437,4223b1ea-c061-9325-0107-9fd1f0103a31,502371f5-c171-70c6-c4b2-9b68a4701b55,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Other 2.6.x Linux (32-bit),Other 2.6.x Linux,Excluded OS
dalliavapiex001,poweredOn,False,False,green,ims-debian-server,connected,running,green,False,2024-07-10 16:12:17,,2024-07-09 15:37:12,2024-08-05 04:09:07,4,4096,1,1,71680,,normal,,True,10.187.96.14,dall_dmz_preprod|dmz_preprod_anp|10.187.96.0_24_epg,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v412838,,,True,notConfigured,,gray,-1,-1,75860,7711,3531,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,efi,17,none,never,,[dalld-gc-252-A01-n] dalliavapiex001/dalliavapiex001.vmx,[dalld-gc-252-A01-n] dalliavapiex001/,[dalld-gc-252-A01-n] dalliavapiex001/,[dalld-gc-252-A01-n] dalliavapiex001/,,,,Last Backup successfully completed at Tue Aug 06 09:24:08 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Debian GNU/Linux 10 (64-bit),Debian GNU/Linux 11 (64-bit),vm-441286,42238c67-1e02-b3e9-99c9-82b60d7de509,5023baa9-a66f-7314-7c1f-2cc76c8ef417,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Debian GNU/Linux 11 (64-bit),Debian GNU/Linux 11,Excluded OS
dalliavapiex002,poweredOn,False,False,green,ims-debian-server,connected,running,green,False,2024-07-10 16:12:34,,2024-07-09 15:38:16,2024-08-06 04:14:10,4,4096,1,1,71680,,normal,,True,10.187.96.15,dall_dmz_preprod|dmz_preprod_anp|10.187.96.0_24_epg,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v412838,,,True,notConfigured,,gray,-1,-1,75860,7705,3525,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,efi,17,none,never,,[dalld-gc-252-A01-n] dalliavapiex002/dalliavapiex002.vmx,[dalld-gc-252-A01-n] dalliavapiex002/,[dalld-gc-252-A01-n] dalliavapiex002/,[dalld-gc-252-A01-n] dalliavapiex002/,,,,Last Backup successfully completed at Tue Aug 06 09:17:01 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Debian GNU/Linux 10 (64-bit),Debian GNU/Linux 11 (64-bit),vm-441287,42234b14-7497-8987-e3ee-b43bdf154a7c,5023c104-be80-66b4-9f06-ea334faf6064,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Debian GNU/Linux 11 (64-bit),Debian GNU/Linux 11,Excluded OS
dalliavapiin001,poweredOn,False,False,green,ims-debian-server,connected,running,green,False,2024-07-09 16:34:17,,2024-07-09 15:39:24,2024-08-06 04:14:10,4,4096,1,1,71680,,normal,,True,10.186.33.174,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v412838,,,True,notConfigured,,gray,-1,-1,75860,7671,3491,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,efi,17,none,never,,[dalld-gc-252-A01-n] dalliavapiin001/dalliavapiin001.vmx,[dalld-gc-252-A01-n] dalliavapiin001/,[dalld-gc-252-A01-n] dalliavapiin001/,[dalld-gc-252-A01-n] dalliavapiin001/,,,,Last Backup successfully completed at Tue Aug 06 09:15:52 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Debian GNU/Linux 10 (64-bit),Debian GNU/Linux 11 (64-bit),vm-441288,42234f80-4305-bfdb-5190-f1c1ac31e2e2,5023c608-5919-07eb-3945-d9e54740b16b,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Debian GNU/Linux 11 (64-bit),Debian GNU/Linux 11,Excluded OS
dalliavapiin002,poweredOn,False,False,green,ims-debian-server,connected,running,green,False,2024-07-09 16:34:22,,2024-07-09 15:40:30,2024-08-05 15:09:01,4,4096,1,1,71680,,normal,,True,10.186.33.92,PreProd_10.186.32.0_22-2174,,,,,,,,1,4096,/Dallas non-Prod/Generic_Compute non-Prod/Resources,group-v412838,,,True,notConfigured,,gray,-1,-1,75860,7675,3495,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,efi,17,none,never,,[dalld-gc-252-A01-n] dalliavapiin002/dalliavapiin002.vmx,[dalld-gc-252-A01-n] dalliavapiin002/,[dalld-gc-252-A01-n] dalliavapiin002/,[dalld-gc-252-A01-n] dalliavapiin002/,,,,Last Backup successfully completed at Tue Aug 06 09:15:36 UTC 2024,,,Dallas non-Prod,Generic_Compute non-Prod,dalldapesx010.site.local,Debian GNU/Linux 10 (64-bit),Debian GNU/Linux 11 (64-bit),vm-441291,4223d50d-819f-021a-333e-47f23a8e35a3,5023307a-18dd-02c7-158e-63ea05335636,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,Debian GNU/Linux 11 (64-bit),Debian GNU/Linux 11,Excluded OS
dallpavalog001,poweredOn,False,False,green,dallpavalog001.site.local,connected,running,green,False,2024-04-26 09:45:07,,2024-04-26 09:44:38,2024-06-25 02:51:01,16,32768,1,2,542720,,normal,,True,10.186.164.172,Prod_10.186.164.0_22-3240,,,,,,,,1,4096,/Dallas Prod/Generic_Compute Prod/Resources,group-v1001,,,True,notConfigured,,gray,-1,-1,1118321,575639,542758,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,19,none,never,,[dallp-gc-246-A02-n] dallpavalog001/dallpavalog001.vmx,[dallp-gc-246-A02-n] dallpavalog001/,[dallp-gc-246-A02-n] dallpavalog001/,[dallp-gc-246-A02-n] dallpavalog001/,VMware Aria Operations for Logs,,,Last Backup successfully completed at Tue Aug 06 07:17:33 UTC 2024,,,Dallas Prod,Generic_Compute Prod,dallpapesx017.site.local,Other 3.x Linux (64-bit),VMware Photon OS (64-bit),vm-298091,422300ad-97ee-2d41-4444-2bb24700cc9d,5023c242-53ff-61e3-a5e2-0b68d7a99cc4,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,VMware Photon OS (64-bit),VMware Photon OS,Excluded OS
dallpavbigiq001,poweredOn,False,False,green,dallpavbigiq001.site.local,connected,running,green,False,2023-11-27 15:17:19,,2023-11-27 13:39:34,2024-06-28 09:03:38,8,32768,3,1,512000,intel-cascadelake,normal,,True,127.20.0.254,Prod_10.186.164.0_22-3240,Prod_10.186.196.0_23-2980,Prod_10.186.196.0_23-2980,,,,,,1,16320,/Dallas Prod/Generic_Compute Prod/Resources,group-v4,,,True,notConfigured,,gray,-1,-1,512109,512109,512000,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,,False,bios,10,none,never,,[dallp-gc-248-A02-n] dallpavbigiq001/dallpavbigiq001.vmx,[dallp-gc-248-A02-n] dallpavbigiq001/,[dallp-gc-248-A02-n] dallpavbigiq001/,[dallp-gc-248-A02-n] dallpavbigiq001/,BIG-IQ Virtual Edition     Copyright 2009-2021 F5 Networks (http://www.f5.com)          For support please visit http://support.f5.com,,,Last Backup successfully completed at Tue Aug 06 19:30:22 UTC 2024,,,Dallas Prod,Generic_Compute Prod,dallpapesx016.site.local,Other 3.x or later Linux (64-bit),CentOS 4/5/6/7 (64-bit),vm-117816,42237a8d-5109-7448-e8c9-99bbee572bca,50234290-857c-42ed-688b-54a32d944d81,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,dallpvvcsa01.site.local,571e5908-3b71-4ab0-a566-f0e38582d5a0,dallas1,CentOS 4/5/6/7 (64-bit),CentOS 4/5/6/7,Excluded OS
